repo,merge,commits_p1,commits_p2,files_p1,files_p2,overlap_files,overlap_ratio,authors_p1,authors_p2,churn_p1,churn_p2,conflict_files,code_conflict,label
commons-lang,08d28f59526b058221be974e55dcf24ea0fbe0e7,2,6,10,29,2,0.0541,1,4,76,244,,0,0
commons-lang,6681a34d25b63a47c2d619ae0466825304ea9b1f,1,12,3,10,1,0.0833,1,2,89,168,src/changes/changes.xml,0,1
commons-lang,fb45bd7f2c1a8097eadb6b4a6bc9f16c03422a5b,1,1,2,1,0,0.0,1,1,44,2,,0,0
commons-lang,e852e8088e0485e2214efe0f10400aa9d931eaef,2,1,3,1,0,0.0,1,1,28,2,,0,0
commons-lang,38d13dddadc2876fde6134e094f5eac8bc792614,1,4,1,4,0,0.0,1,1,16,22,,0,0
commons-lang,4a8aa9e7243e7df4e5ebca91b85209bd69c875fb,2,4,1,3,0,0.0,1,1,27,74,,0,0
commons-lang,4b621c8c031265e4ca1749474c701b198a54e587,1,50,1,32,0,0.0,1,4,3,768,,0,0
commons-lang,c49dc4893fd48964e5b88eabe0c7854a15033b4f,4,2,3,1,1,0.3333,2,1,10,4,,0,0
commons-lang,69e3ba4188ae857eeb05a36a5e7b30fac344c905,1,7,1,8,0,0.0,1,3,3,137,,0,0
commons-lang,8f579b4f3074b79c44771ce6c6dec1d253401f50,3,1,2,4,0,0.0,1,1,31,72,,0,0
commons-lang,977e1008fb13ddcf0465324426c38e96b6194553,1,4,10,1,0,0.0,1,1,56,4,,0,0
commons-lang,535ec32c680a6581739a41bf97ecb8b8718c73b8,2,3,2,5,2,0.4,1,1,6,39,,0,0
commons-lang,c8bfb687e4974e7514f51ff78e8aae75205c3735,1,2,1,1,0,0.0,1,1,26,433,,0,0
commons-lang,18ce3b473018d1d7da90c0b5b563c97bf030b1a4,1,1,1,1,0,0.0,1,1,433,2,,0,0
commons-lang,0a98b934d234782f33e71f762b66f1d8b79f0f8f,1,1,3,1,0,0.0,1,1,28,2,,0,0
commons-lang,2f28cef08f0668004d003f2695e9845f37c1f0ee,1,5,1,6,0,0.0,1,2,2,23,,0,0
commons-lang,be6501ef4af31302646012e31ea3bbc891b1032b,1,2,1,4,0,0.0,1,1,5,14,,0,0
netty,79fc7f96f6dbce637ab745ac90290455af21c54c,4,15,22,9,0,0.0,2,4,406,77,,0,0
netty,64588eb53274d2d47979fa5b542d623e37843d93,1008,14,3987,32,19,0.0047,87,3,614698,488,.github/workflows/ci-build.yml;.github/workflows/ci-deploy.yml;.github/workflows/ci-pr.yml;.github/workflows/ci-release.yml;codec-classes-quic/pom.xml;codec-native-quic/pom.xml;docker/docker-compose.centos-7.yaml;pom.xml;testsuite-native-image/pom.xml,0,1
netty,9c4eeaa32bdd7119d255c44b107647020f16f34e,95,1,119,43,0,0.0,9,1,23069,1243,,0,0
netty,76c2c06922f6749cbc8ac733925275e726caff0c,94,15,119,185,5,0.0167,9,6,23069,5516,,0,0
netty,4b9c6f4582e43d0b8602c944ac1872169c431266,90,16,119,42,1,0.0063,9,4,23069,1254,,0,0
netty,9e67e9f43878692a8473af9774df627e68309a42,89,15,119,84,6,0.0305,9,6,23069,2844,.github/workflows/ci-release-4.2.yml,0,1
netty,af11c51ce576c4ce1918f2e8e1a342a765ad9219,88,16,119,42,2,0.0126,9,5,23069,1181,.github/workflows/ci-release-4.2.yml,0,1
netty,08abd189ce118b0adb9a67a64afe49eb66584b62,83,19,121,120,3,0.0126,9,5,23113,1725,,0,0
netty,3d0228a2d3ae407c65a0800365efc379711ccc50,82,13,121,32,3,0.02,9,5,23113,967,,0,0
netty,1cb45c608627e668d8dcc7f98833fa8a421d3d59,81,3,121,3,0,0.0,9,3,23113,108,,0,0
netty,18a444c220d878d65ff67e222aee55bc57389f72,950,3,3952,2,1,0.0003,82,3,613968,18,codec-http3/pom.xml,0,1
netty,6b99132f60d5cee2d5f797458427b48ccc037241,1,2,114,2,0,0.0,1,2,0,18,,0,0
netty,464213c354cb21caa1bf13a43e3430160c8b00bf,74,12,121,96,3,0.014,8,3,23113,958,.github/workflows/ci-release-4.2.yml,0,1
netty,ded5a30e026a32ff346bcf860eda72ed4fd65c19,73,2,121,2,0,0.0,8,2,23113,3,,0,0
netty,cf5cff8a3fc2f9d9a4181d5f0b06d0ad325605a0,70,73,121,240,3,0.0084,8,10,23108,4327,.github/workflows/ci-release-4.2.yml,0,1
netty,06b0741189f9e39e5db533401047c0c8951fe789,758,10,3840,7,5,0.0013,74,2,584964,103,codec-classes-quic/pom.xml;codec-native-quic/pom.xml;pom.xml;testsuite-native-image/pom.xml,0,1
netty,c9321a159a5d17216ca8122dd914394594674b51,7,18,3,24,0,0.0,2,5,110,158,,0,0
netty,f3c256ba68e061da02201d7353de0ec4b2d53c05,737,5,3840,8,5,0.0013,72,1,584886,348,.github/workflows/ci-deploy.yml;.github/workflows/ci-pr-reports.yml;.github/workflows/ci-pr.yml;.github/workflows/ci-release.yml;pom.xml,0,1
netty,dc1829a992d9c27139fe22501344d73a2e330cb3,1,166,1,179,0,0.0,1,12,4,29462,,0,0
netty,281298d55e5c67ffcd9bd151f1cfcbea395d1e28,164,1,179,1,1,0.0056,12,1,29455,6505,,0,0
netty,192cab05ca8207735ca1ea79901562b3f33a4cd8,672,3,3821,2,2,0.0005,68,1,589272,14,,0,1
netty,4a578904993ca115bb92b2fc7a5e3c5cd94340a8,155,7,178,61,3,0.0127,12,5,29446,238,,0,0
commons-io,7a7e8a5f42686947f57f252577699c430970194b,1,1,2,2,0,0.0,1,1,172,428,,0,0
commons-io,cfc7a99f43d3fee6c347b534b66c3f4178181cc5,1,2,1,1,0,0.0,1,1,1,4,,0,0
commons-io,b5bc19048c8de0dd9f813bbc0592d76983fbb18d,3,2,2,1,0,0.0,1,1,8,4,,0,0
commons-io,8b290be602ce34e58ac72e2e79340241d1b7c765,1,5,1,5,0,0.0,1,3,7,18,,0,0
commons-io,809c173c64cea583b329f87ed4394d68114ad1c2,1,2,1,2,0,0.0,1,2,2,3,,0,0
commons-io,121db2954f1dfac4ea1300a83d3f9527e8e28fd8,1,8,2,12,2,0.1667,1,3,7,68,,0,0
commons-io,2350e6d82d86f8720cc7edcbbb114f35cfd67176,1,2,1,1,1,1.0,1,1,2,4,,0,0
commons-io,d23228f4a94bd070b0505e5a528da1413915c8a4,1,2,1,2,0,0.0,1,2,1,5,,0,0
commons-io,909dc0f9aa1874aafc2c6f54d11946199983a0d5,1,2,1,239,0,0.0,1,1,51,5358,,0,0
commons-io,e28f97685236891636342d386b63b7dd116fe846,5,2,1,1,0,0.0,1,1,50,286,,0,0
commons-io,4e2320ccec92ea06ffee4774eda0970fae372442,2,1,2,1,0,0.0,1,1,10,6,,0,0
commons-io,5d854f34cb0c602b119f1ff95ffdb6a812fdcca5,2,2,3,1,0,0.0,1,1,10,4,,0,0
commons-io,c722fe80b9df938cdb3d949428ce51fe12ee88a3,1,1,2,1,0,0.0,1,1,29,11,,0,0
commons-io,4efa8cf29a9f4a35bc6bd347bfe50070e2916b1f,1,1,1,1,0,0.0,1,1,0,2,,0,0
commons-io,1dfa5367620b7bdf88c28add555c3ddc2be1d187,2,3,1,4,0,0.0,1,1,0,9,,0,0
commons-io,0ee29cea53f9f541b9921cd8fe2ddfa75ce10277,1,1,3,1,0,0.0,1,1,8,3,,0,0
commons-io,72ae92deb39d4ce1586b9bf25ed2fd4104348b7f,1,1,3,1,0,0.0,1,1,29,2,,0,0
commons-io,1d4ede072a7729b6e4267f25dbaddc0b3b456fd2,1,1,1,2,0,0.0,1,1,11,18,,0,0
commons-io,2ca87c10c6849c891ef7d698b511278fc51dfe77,1,3,1,4,0,0.0,1,2,35,12,,0,0
commons-io,44b355fca0c21f2e8f40757ee6a78a37d2807a20,8,1,12,1,0,0.0,1,1,305,2,,0,0
commons-io,2224df7b9de1dac7f1a809668c72b35412633c4d,1,2,3,3,0,0.0,1,1,223,10,,0,0
commons-io,82a8ef1b14a1055f777d24fac855080ca2893ea0,1,1,5,2,0,0.0,1,1,21,8,,0,0
commons-io,be60e48c4c673fb9a46e24ea4ade6bb45f44691d,2,2,1,2,0,0.0,1,2,8,5,,0,0
commons-io,86631315076f5d435c6c16630093ff78be15e39d,1,2,1,2,0,0.0,1,2,3,4,,0,0
commons-io,8ad6764d1e79e81ed37997706564ae28d268986c,1,5,1,5,0,0.0,1,3,3,45,,0,0
commons-io,24e5af4917c0f23651c727aba9773212dd4a5db7,1,2,2,2,2,1.0,1,2,4,4,,0,0
commons-io,b0b49492e08dcb0eb86facd7b74360175d221cfa,1,2,1,2,0,0.0,1,2,10,4,,0,0
commons-io,1bd12b55b019788c0cc58208ab7fde34d3d6b589,1,3,1,2,1,0.5,1,3,2,8,,0,0
commons-io,7df58926b00e29c78a6df607ad9f75fada4b5ab5,1,2,1,2,1,0.5,1,2,2,4,,0,0
commons-io,e751e2f8c34a4913f612fc42ced100b37abe2a4a,1,4,1,1,0,0.0,1,1,2,4,,0,0
commons-io,290d72eda9152d1e11b79d48453908ff3f6b9897,2,2,1,4,0,0.0,1,1,4,170,,0,0
commons-io,1a824eca1485f6106d8c5e439fe5fded6152a35b,1,3,1,6,1,0.1667,1,2,4,117,,0,0
commons-io,a01ac042ebb411836caf13fb85d2fbfb65e03c14,1,3,2,5,1,0.1667,1,1,4,21,,0,0
commons-io,cfd4d86033e5cee159dc869ccb61aa3afe5fa015,1,19,2,12,1,0.0769,1,3,6,547,,0,0
commons-io,063463f51f401a9b31c2e1a795590e650f4a223a,1,1,4,2,0,0.0,1,1,24,8,,0,0
