repo,merge,commits_p1,commits_p2,files_p1,files_p2,overlap_files,overlap_ratio,authors_p1,authors_p2,churn_p1,churn_p2,conflict_files,code_conflict,label
activemq,5debe1faccab7ef384852c678457f1120513c05d,6,1,1,1,1,1.0,2,1,6,2,,0,0
activemq,a6eaa8579969df3b2cc240953b152925f42dd76b,4,1,1,1,1,1.0,2,1,4,2,,0,0
activemq,88655e611277d356e946bc70db52507740f0bd2c,2,1,1,1,1,1.0,2,1,2,2,,0,0
activemq,216d73fcb5dc430e496c9b2312560a2de3790f97,7,1,8,1,1,0.125,3,1,199,2,,0,0
activemq,0e0c0f32616230ad9e3f85d34ec13518d6ac698c,7,1,8,1,1,0.125,3,1,199,2,,0,0
activemq,dc6960de9145755ab8f566274b77f2c87565a92e,11,1,7,3,0,0.0,4,1,76,131,,0,0
activemq,2ee8700ff3a6778955450f1fbb8dd075bb17f43e,11,1,6,3,0,0.0,4,1,135,60,,0,0
activemq,2fc07ac39a4adb23d0c549348ae7b4efeb5c3dca,5,1,4,1,0,0.0,3,1,126,5,,0,0
activemq,6b6f5fbe24550452cd09aab9c4d7094cf782a04f,2,1,1,1,0,0.0,2,1,2,3,,0,0
activemq,4a0bb48881001424f945b0fd0b42e625142078dd,2,1,1,2,0,0.0,2,1,6,7,,0,0
activemq,0e24799687ccdc7be671c433ef0a3eed8de10194,2,1,1,1,0,0.0,2,1,4,2,,0,0
activemq,645e2b084aa501b022f649b21f5789b720554c9a,9,1,10,1,1,0.1,2,1,767,2,,0,0
activemq,7aad5eaaa3493cecbeb780669330915934daaa9c,7,1,10,1,1,0.1,2,1,765,2,,0,0
activemq,27e2614452865de97baae9697c9a22cfb56cc5cf,5,1,10,1,1,0.1,2,1,763,2,,0,0
activemq,9d11e0d7e96c4871e190d0c99aa0f3cdc8ffb8db,4,1,1,1,1,1.0,2,1,4,2,,0,0
activemq,6bdb8e26e061318b5b4f28fb4f66586471b7177b,2,1,1,1,1,1.0,2,1,2,2,,0,0
activemq,789ca4939de5492377c761a0aca6d0bcb4c205dd,8,1,1,1,1,1.0,1,1,8,2,,0,0
activemq,50ea73f1d5788ba1b216f7bece4580b8033c1759,4,1,1,1,1,1.0,1,1,4,2,,0,0
activemq,814871a0488e677957b546e4fdb148d60ed79afe,2,1,1,1,1,1.0,1,1,2,2,,0,0
activemq,d1ab8ef93d8807faf4fb5c9d28fb0a5a2c5b015d,4,1,3,1,0,0.0,3,1,194,2,,0,0
activemq,85f82035cda1bca7ee7acb22b015d2965e37c676,4,1,2,1,1,0.5,2,1,4,2,,0,0
activemq,17aaff3709683a8accf626388f32816d1ec7e8b3,2,1,1,1,0,0.0,2,1,2,2,,0,0
activemq,0f520f1e2744f2d3938202b6d62df1e667cd375f,2,1,1,1,0,0.0,2,1,144,2,,0,0
activemq,986cd7c52b582bf2613f02b1fbc742a5e8fa1feb,12,1,45,1,0,0.0,4,1,346,144,,0,0
activemq,b39e64f2582045b92f17a53e03000b0e63c27801,2,1,1,1,0,0.0,2,1,4,2,,0,0
activemq,f6d067a49aa0f7aea18afa7738d60f9d15eeafa9,4,1,4,1,0,0.0,2,1,60,2,,0,0
activemq,1c3c1289bbc4a4d4b6e7030210cf9dc6d2e2f038,6,1,5,2,0,0.0,3,1,216,7,,0,0
activemq,78d95552338db1be2b95fc5c2fdd4eae8d045458,8,1,5,2,0,0.0,5,1,39,158,,0,0
activemq,f90c10df8e140ab97aaa42eb18107e8a18b80c8b,15,1,44,1,1,0.0227,4,1,122,5,,0,0
activemq,04e84afa891123ead07dbccb0b21f0ca80666e65,4,1,3,1,0,0.0,3,1,9,25,,0,0
activemq,d0dac1792692df34a94cdd89edfba64df2c1aa2b,2,1,1,2,0,0.0,2,1,2,7,,0,0
activemq,a611b143da8af7beb6dd2a96088332ea6bc678cd,2,1,1,1,1,1.0,1,1,2,2,,0,0
activemq,3f2b2ba0aedd0d26d52b47c29d60552534ad4bfe,6,1,1,1,1,1.0,1,1,6,2,,0,0
activemq,84204f4c96a393554530b687bb9358b57be109a4,4,1,4,6,0,0.0,3,1,65,12,,0,0
activemq,45bce62d05edf06726a5da2f3202ee2f01f65394,8,1,7,2,0,0.0,4,1,54,24,,0,0
activemq,d347f47b66ab3ecd5e85b23def000fac3fec6876,4,1,5,2,1,0.1667,2,1,11,41,,0,0
activemq,dbe995642d22be8eec14c3a7d52ddbb08da5069f,2,1,4,1,0,0.0,2,1,9,2,,0,0
activemq,544687465b677670151ce72f633f3cb4b0efd00e,2,1,1,2,0,0.0,1,1,11,19,,0,0
activemq,b08f65d48c297ba2229071db6bd39f2a7b61b7a1,2,1,1,1,0,0.0,1,1,17,11,,0,0
activemq,a2fa43359e189617461c6216caa9312e6987143b,16,1,9,1,0,0.0,2,1,96,23,,0,0
activemq,dcb660f7fc0c221a7a1a620909bbcc614288b790,14,1,8,1,0,0.0,2,1,90,6,,0,0
activemq,6546dd1b8b17b0dda35babd57042707cc0d7065f,12,1,7,1,0,0.0,2,1,74,16,,0,0
activemq,51965401bc5fa7615c1f9ed5c206823d98fec92f,8,1,7,1,1,0.1429,2,1,70,2,,0,0
activemq,7d4adf9e0eaf8670a2756f6140a750a7ce437f0d,6,1,7,1,1,0.1429,2,1,68,2,,0,0
activemq,ff360abf431a9ebbdadeb43e82e741165bdaa1ff,2,1,1,1,1,1.0,1,1,2,2,,0,0
activemq,85eb0f2df8b83cf1bae89e9727f7bac090af7e38,6,1,10,1,1,0.1,4,1,243,2,,0,0
activemq,c549d70800e5fb2115715edd5ea5c04f6a1c79c4,4,1,9,1,0,0.0,3,1,241,2,,0,0
activemq,99dced2fa74f3ace8ede94b40fdb27fe81a98fa7,50,1,82,2,0,0.0,10,1,999,154,,0,0
activemq,1e37fe64e8914dd2a330de3d8ca446c76742b25a,2,1,1,7,0,0.0,1,1,2,87,,0,0
activemq,a2bf5b8adb8669a1fa020519cfd9a0fdae2f8787,2,1,1,2,0,0.0,1,1,2,25,,0,0
activemq,aeab06e93e40d3a3ec198dc537388326832ff270,2,1,3,1,0,0.0,2,1,7,3,,0,0
activemq,4baf997a3c805b24c9d9b94ab8620d815e84db69,2,1,1,1,1,1.0,1,1,2,2,,0,0
activemq,58867f7c3cef580134cb4e32e2f9086552c1876a,10,1,47,1,1,0.0213,4,1,188,2,,0,0
activemq,dcf86d391640b0292d0609412b67ab363b17b5a0,8,1,44,3,0,0.0,4,1,111,77,,0,0
activemq,3132858aecb5a36defb8152192d19cc441b0fc02,5,1,4,1,0,0.0,2,1,25,2,,0,0
activemq,98c62f6568c152122e25536f4dc2ba6df07325c7,4,1,43,1,0,0.0,3,1,105,4,,0,0
activemq,d0e2cce18f0e5541c062ef83a2a53af205131089,2,1,43,2,2,0.0465,2,1,100,5,,0,0
activemq,9aedca0067df977ac1a2c7c2655532bfc4d1d741,5,1,3,4,0,0.0,3,1,18,104,,0,0
activemq,fb379997c6fc1201c2cf71b3d1f1dfb3c3a1bd3b,4,1,2,1,1,0.5,2,1,4,2,,0,0
activemq,d23da10da80c37d01a42af1f8347193ba2baae22,5,1,3,1,0,0.0,3,1,8,2,,0,0
activemq,5d693d1c1d1a997a83eaec532839165f75702b52,3,1,2,1,0,0.0,2,1,6,2,,0,0
activemq,ca35e5921cf6da481ad2e2fb91be2a839f4f00ec,9,1,8,1,0,0.0,3,1,372,4,,0,0
activemq,18c74769dc55bdec93000b43be960172fa0a8f38,13,1,14,6,2,0.1111,2,1,222,364,,0,0
cxf,10ee0f1419b8c63a0d7412103ea4224215dab11f,6,2,9,2,0,0.0,3,1,60,205,,0,0
cxf,315eb6da4a0c7af09f55beaacc26cd77e3edd3c7,1070,1,1618,3,1,0.0006,36,1,32674,20,,0,0
cxf,12157306906b8daa33a868549c563949fc9bf0fd,580,1,1414,3,1,0.0007,14,1,17616,11,,0,0
cxf,e8cc4610d630b465fbabf1456268a092a2fc0491,27,1,29,8,0,0.0,7,1,433,127,,0,0
cxf,73362d5cc205ebd08ab8f6b50452b7e5c59378fe,1,1,9,3,0,0.0,1,1,52,211,,0,0
cxf,02886aae9bea932a87ac4d2afa7ddb4b53c153a6,1,1,2,4,0,0.0,1,1,9,22,,0,0
cxf,bc5905727f2ed2a28bcfcd3bcbe2775adb819cf7,1,1,1,3,0,0.0,1,1,6,7,,0,0
cxf,8039f641f03b3470dddb4ad2dba9c706754a32d5,1,2,2,2,0,0.0,1,1,28,12,,0,0
cxf,b2731a63ba28655aff76a39aa42162cfeb5a485f,2,1,1,1,0,0.0,1,1,4,56,,0,0
cxf,63fd5606b8ba94ccbac2bfe5189e61be35ac83b6,2,2,3,8,0,0.0,2,1,91,163,,0,0
cxf,d8e1317707203fd4b84ea9f93dca6d34a602e21d,1,1,1,1,0,0.0,1,1,94,1,,0,0
cxf,c56271ef4e6459c2899a6766cd0b5deaa164317f,64,1,75,1,1,0.0133,10,1,3175,5,,0,0
cxf,248c7da3183e9f061adc4c31f972d076a4221cda,1,2,2,3,0,0.0,1,1,6,115,,0,0
