repo,merge,commits_p1,commits_p2,files_p1,files_p2,overlap_files,overlap_ratio,authors_p1,authors_p2,churn_p1,churn_p2,conflict_files,code_conflict,label
logging-log4j2,b0b463ff8c91616fcddf74c7a281537d9268d5a6,23,1,54,2,0,0.0,5,1,522,152,,0,0
logging-log4j2,ac82a0d782a583f059778f0db3c6012180747fb3,1,1,2,1,0,0.0,1,1,9,8,,0,0
logging-log4j2,d104162afa6912ad71aa5e6cc8b99b777e8ba815,2,5,2,5,0,0.0,1,2,22,64,,0,0
logging-log4j2,2b93414a403c21003774f7b0a8f92f143b5fec3c,10,3,11,2,0,0.0,2,1,468,4,,0,0
logging-log4j2,d24ebef87bc9e560580c4439c31fb6fb8fe3c30b,1,1,1,6,0,0.0,1,1,2,2240,,0,0
logging-log4j2,00823bd9541bcab405f57ffda2db050aefb87181,2,1,2,4,1,0.2,1,1,11,57,,0,0
logging-log4j2,98a66a14561e7b1525a98080be1362e0243a56d4,3,1,49,2,0,0.0,1,1,1243,5,,0,0
logging-log4j2,e54e2505f5e6579a25848d39ed2fbd7a6d03c5e5,2,10,49,5,1,0.0189,1,2,1243,31,,0,0
logging-log4j2,06dcce455c0409f47e808fbf837a136f140e18de,118,12,148,27,4,0.0234,15,2,5093,1145,log4j-api/src/main/java/org/apache/logging/log4j/util/PropertiesUtil.java;src/changes/changes.xml,1,1
logging-log4j2,c81c118a2957cab9434ece771daef4cb8311ae63,1,2,1,18,0,0.0,1,1,8,883,,0,0
logging-log4j2,b5ba8b78839992be3ec21eb5e9931f49d3955f00,1,2,9,1,0,0.0,1,1,221,4,,0,0
logging-log4j2,64e3f1031225a4c998ffa03a15819a51dfea4532,2,1,3,2,0,0.0,2,1,20,58,,0,0
logging-log4j2,b8f6a1c5758f5d634b5d5cf3f4c4ebb571abca23,1,2,3,1,0,0.0,1,1,47,4,,0,0
logging-log4j2,d2aa15bd10e502e688bb69de60a87d99455da168,1,4,1,3,0,0.0,1,1,4,55,,0,0
logging-log4j2,65c2b53d5e20246e03348abc17fce0f9956a67f8,1,1,1,2,0,0.0,1,1,2,15,,0,0
logging-log4j2,3ac727026f295941fe71a34d6c80afc242f38c0f,1,1,1,1,0,0.0,1,1,8,11,,0,0
logging-log4j2,b79d6c5d7b6663c38b07ce88f924efe7419b9455,1,1,1,23,0,0.0,1,1,53,3750,,0,0
logging-log4j2,b96f5220dbebf6e0a4fb9f7da07c3a9d7d443418,9,7,13,8,1,0.05,1,3,789,1797,,0,0
logging-log4j2,db946ce77cce33e8d722d3b32d0bb91caeb0d17b,4,1,13,1,0,0.0,1,1,789,4,,0,0
logging-log4j2,f56b8c1ab6afc8806994eb71846a3dfcc9ac07f1,1,2,13,3,1,0.0667,1,1,39,143,,0,0
logging-log4j2,2ce1a7ff25b1699d94dc0e73ff889b42002a728f,1,6,3,13,1,0.0667,1,4,143,539,src/changes/changes.xml,0,1
logging-log4j2,22b57e14423859b08a72a1a042d5f041352b140b,272,2,354,4,0,0.0,17,1,18280,471,,0,0
logging-log4j2,698bf360f3880eefdf58989ef63911b955602f2d,1,2,1,7,0,0.0,1,1,4,60,,0,0
logging-log4j2,002a19332c6f3cbbecdd93a4310e498bd24bee8e,6,3,10,3,0,0.0,1,2,83,6,,0,0
logging-log4j2,04acee201919ce57d99009b625b5e91a8d9e052c,1,1,1,5,0,0.0,1,1,1,89,,0,0
logging-log4j2,2d4b2c1bba45b7440457a14d5ffa8fb0557fc6a0,4,1,10,5,1,0.0714,1,1,83,89,src/changes/changes.xml,0,1
logging-log4j2,c1b90f96151c1a0e217ee2ed36c29eb325ff7d25,1,6,8,15,2,0.0952,1,2,78,1096,src/changes/changes.xml,0,1
logging-log4j2,a0fcb1557f19ee22e84c32901843ed4eeab1bbc4,1,22,1,37,0,0.0,1,4,2,2520,,0,0
logging-log4j2,42dcb4588d79016b7906737ab66603ce9c27f968,8,2,12,20,2,0.0667,2,2,643,300,src/changes/changes.xml,0,1
logging-log4j2,9caf597d1dc08b7bb64e0b6f5a128ddf18684fdb,6,1,10,2,0,0.0,1,1,636,22,,0,0
logging-log4j2,bcb7264491b89a4cb9f672a276cc00ff48c484cd,5,20,10,20,3,0.1111,1,2,636,597,,0,0
logging-log4j2,d7d88b13c5ee60572387e500442f2396fe616718,1,2,2,6,0,0.0,1,1,47,344,,0,0
logging-log4j2,0af515f3b1ec67422de254d08ac87b135e3c6923,1,3,7,3,0,0.0,1,2,420,59,,0,0
logging-log4j2,1c2ad7b807c3a34039206e17f3f71be6b6dc5216,3,1,5,2,0,0.0,1,1,289,7,,0,0
logging-log4j2,76c68b21f0b79a6f3daf1d7160e3af0b0ed78180,18,4,52,1,0,0.0,4,2,1754,78,,0,0
logging-log4j2,d0d331fb93ec3645770b67454c4c11e5706dfb61,17,1,53,1,1,0.0189,5,1,1761,2,,0,0
logging-log4j2,aea91cc1896860134b9450b70e220a496c59c0b7,8,18,47,20,3,0.0469,1,5,1594,250,log4j-core/src/main/java/org/apache/logging/log4j/core/impl/MutableLogEvent.java,1,1
logging-log4j2,991689079195f6055f06f678fbffa78974240115,3,62,1,93,0,0.0,2,8,78,2916,,0,0
logging-log4j2,11fb367f2aae30dd3eb67048e635396a9b718203,2,29,1,41,1,0.0244,1,2,2,2569,,0,0
logging-log4j2,8475d17597a09006808e747fd82e6ad126227641,7,48,47,82,6,0.0488,1,8,1596,2957,,0,0
logging-log4j2,394c30f594c9eac570a43313bf44be4bc60cded9,7,25,36,56,2,0.0222,1,6,912,526,src/changes/changes.xml,0,1
logging-log4j2,f64ea4b597ee6cef22c99ed5f382489ff87431c8,1,7,9,2,0,0.0,1,2,175,19,,0,0
logging-log4j2,ee2690bbaffc5a9b91d10a029c2059b4f9b1d533,1,23,1,49,1,0.0204,1,7,2,350,,0,0
logging-log4j2,3bc94c0bbe07719affb38c08124bd917a061d3fa,2,1,6,2,0,0.0,1,1,151,4,,0,0
logging-log4j2,6fd6dfcd7fa772ffa1a4d3c9c783b5b0af7501d9,6,3,36,3,2,0.0541,1,1,912,10,,0,0
logging-log4j2,873e7efbab22aac29e29716a871ff114c60202bd,2,1,33,1,0,0.0,1,1,884,2,,0,0
logging-log4j2,b77b7d039653bc1675e7f9a1376cedf9e4fd16c5,1,1,31,3,0,0.0,1,1,812,212,,0,0
logging-log4j2,40f60b738e6f86e07bd48bab0e12b5913928a24c,6,3,4,2,0,0.0,3,1,15,76,,0,0
logging-log4j2,fd4ab95015efabad6383ad782e37e381a7462c23,17,1,23,1,1,0.0435,5,1,624,2,,0,0
logging-log4j2,5e72f2cac4ce7ea0f38f12f7fcd5f708548d33db,1,9,3,12,0,0.0,1,2,84,510,,0,0
logging-log4j2,f3be87900f66be98a6e84c5c8dab5986c219466f,1,1549,3,1222,3,0.0025,1,25,57,77935,log4j-core/src/main/java/org/apache/logging/log4j/core/impl/ThrowableFormatOptions.java,1,1
